CartCode,Total,Discount,CustomerSalary,CustomerAge,Sex,MaritalStatus,IntervalTime,UseCreditCard,ListOfProduct
C0,131,0.02,1178,36,F,1,I4,NO,shrimp>almonds>avocado>vegetables mix>green grapes>whole weat flour>yams>cottage cheese>energy drink>tomato juice>low fat yogurt>green tea>honey>salad>mineral water>salmon>antioxydant juice>frozen smoothie>spinach>olive oil
C1,96,0.08,898,49,M,1,I3,YES,burgers>meatballs>eggs
C2,76,0.22,818,22,F,1,I1,YES,chutney
C3,133,0.08,2071,58,F,1,I4,NO,turkey>avocado
C4,229,0.07,860,26,M,1,I4,YES,mineral water>milk>energy bar>whole wheat rice>green tea
C5,130,0.23,1109,36,F,0,I1,NO,low fat yogurt
C6,221,0.23,609,41,M,0,I3,YES,whole wheat pasta>french fries
C7,180,0.25,2312,25,F,4,I3,NO,soup>light cream>shallot
C8,128,0.24,1406,52,M,1,I3,YES,frozen vegetables>spaghetti>green tea
C9,135,0.17,792,30,M,1,I4,YES,french fries
C10,168,0.02,2040,39,F,2,I1,NO,eggs>pet food
C11,130,0.13,1770,55,M,3,I1,NO,cookies
C12,178,0.02,1888,25,F,3,I3,YES,turkey>burgers>mineral water>eggs>cooking oil
C13,89,0.04,2263,54,M,0,I3,NO,spaghetti>champagne>cookies
C14,246,0.11,1130,39,F,4,I3,NO,mineral water>salmon
C15,130,0.01,1443,42,M,3,I2,NO,mineral water
C16,145,0.06,1092,25,F,1,I4,YES,shrimp>chocolate>chicken>honey>oil>cooking oil>low fat yogurt
C17,185,0.1,622,25,F,0,I1,YES,turkey>eggs
C18,198,0.21,2090,21,M,1,I1,NO,turkey>fresh tuna>tomatoes>spaghetti>mineral water>black tea>salmon>eggs>chicken>extra dark chocolate
C19,93,0.22,1501,58,M,0,I4,NO,meatballs>milk>honey>french fries>protein bar
C20,244,0.11,673,58,F,2,I3,NO,red wine>shrimp>pasta>pepper>eggs>chocolate>shampoo
C21,85,0.06,1178,37,F,4,I2,YES,rice>sparkling water
C22,133,0.18,644,53,F,0,I3,YES,spaghetti>mineral water>ham>body spray>pancakes>green tea
C23,229,0.08,1917,37,F,1,I3,NO,burgers>grated cheese>shrimp>pasta>avocado>honey>white wine>toothpaste
C24,125,0.13,987,46,M,4,I1,YES,eggs
C25,65,0.08,808,21,F,3,I1,NO,parmesan cheese>spaghetti>soup>avocado>milk>fresh bread
C26,86,0.2,1848,53,F,0,I1,NO,ground beef>spaghetti>mineral water>milk>energy bar>black tea>salmon>frozen smoothie>escalope
C27,149,0.07,2133,31,F,1,I4,NO,sparkling water
C28,54,0.09,997,58,M,4,I4,YES,mineral water>eggs>chicken>chocolate>french fries
C29,249,0.02,2411,26,M,0,I2,YES,frozen vegetables>spaghetti>yams>mineral water
C30,157,0.19,1967,26,F,3,I3,NO,herb & pepper>tomato sauce>light cream>magazines
C31,70,0.06,818,48,F,3,I2,YES,mineral water>chocolate>avocado>eggs
C32,77,0.08,1752,58,M,3,I2,NO,turkey>french fries>strawberries
C33,250,0.15,2258,56,M,4,I2,YES,frozen vegetables>strong cheese>chocolate
C34,188,0.25,1542,44,M,2,I2,NO,cookies
C35,172,0.15,1120,21,F,2,I2,YES,pickles>spaghetti>salmon>escalope
C36,74,0.03,803,43,M,3,I1,YES,energy bar>french fries
C37,61,0.19,2273,55,F,3,I2,NO,red wine>ground beef>mineral water
C38,73,0.25,717,43,F,1,I3,NO,mineral water>cake>cottage cheese
C39,131,0.14,1890,46,M,4,I1,YES,pickles>champagne>green tea
C40,179,0.09,2318,49,M,0,I4,NO,spaghetti
C41,179,0.05,1345,23,M,1,I4,NO,fresh tuna>frozen vegetables>spaghetti>mineral water>honey>whole wheat rice>frozen smoothie>escalope
C42,195,0.01,711,42,F,2,I2,YES,spaghetti
C43,137,0.15,2032,34,M,0,I3,YES,soup>meatballs>hot dogs>sparkling water
C44,224,0.15,1201,53,M,4,I1,YES,escalope
C45,109,0.17,1621,23,F,0,I1,YES,soup>avocado>french fries>hot dogs>brownies>body spray>pancakes>green tea
C46,242,0.09,2091,38,F,4,I4,YES,mineral water>chicken>cereals>clothes accessories
C47,179,0.24,1807,49,F,1,I1,YES,mineral water>bug spray
C48,78,0.11,1005,54,M,2,I2,NO,avocado>muffins
C49,83,0.19,2396,47,F,1,I1,NO,burgers>black tea>green tea
C50,55,0.24,1921,24,F,3,I1,NO,spaghetti>chocolate>brownies>white wine>green tea
C51,235,0.14,2084,50,F,2,I2,NO,fresh tuna>mineral water>eggs
C52,71,0.11,1326,46,M,3,I4,NO,spaghetti>muffins
C53,186,0.05,1298,54,M,3,I4,NO,spaghetti>chocolate
C54,208,0.15,2463,44,M,2,I2,YES,french fries>escalope>champagne
C55,51,0.17,1887,37,F,0,I3,NO,tomato sauce>light mayo
C56,85,0.25,1569,55,F,2,I2,NO,turkey>fresh tuna>frozen vegetables>tomatoes>ground beef>spaghetti>mineral water>chocolate>soup>milk>olive oil
C57,198,0.08,2100,33,M,0,I1,YES,eggs>cookies
C58,76,0.18,1505,48,F,1,I1,YES,soup>chicken>gums>soda>body spray>energy drink>green tea
C59,203,0.17,1305,42,F,0,I2,YES,turkey>frozen vegetables>mineral water>cider>cooking oil>green tea
