FreeTime,StudyTime,Score,Sex,Result
0.5,1.5,2.5,M,0
0.75,0.75,2,F,0
1,1,2.5,L,0
1.25,1.25,2.75,G,0
1.5,4,3.5,B,0
1.75,1.75,2.75,T,0
1.75,2,4,M,1
2,2.5,2,F,0
2.25,2.25,3.5,L,1
2.5,5,2.5,G,0
2.75,2.75,2.75,B,1
3,3,3,T,0
3.25,3.25,3.25,M,1
3.5,3.5,3.5,F,0
4,4,4,L,1
4.25,4,4,G,1
4.5,4.5,4,B,1
4.75,5,3.75,T,1
5,5.5,4,M,1
5.5,5.5,4,F,1
1.8,6.5,0,L,1
8.3,7.5,0,G,0
1.3,2.8,0.3,B,1
9,8.3,1.8,T,0
2.8,2,4.5,M,0
6.5,8.8,3,F,0
0,5.8,3.8,L,0
6.5,1.8,4.5,G,0
8.8,0,0.8,B,0
9,9.3,3.3,T,1
1.3,9.8,2.3,M,0
8.8,7,1,F,1
7,7.8,0.8,L,0
6.5,10,1.8,G,1
8.5,8,0.5,B,0
4.3,6.5,1.5,T,1
3,4.3,4,M,0
9.3,8,4.5,F,1
3.5,10,3.8,L,1
1,1.8,4.5,G,1
8.8,2.8,5,B,1
5.3,4.5,2,T,1
0.8,6.3,2,M,1
7.8,7,4.5,F,1
5.8,9,3.8,L,0
9,8.3,3.3,G,1
3.8,8,4,B,0
8,6.5,0.5,T,1
7,6.8,3.3,M,0
3.5,6.3,1.3,F,1
3.3,1.8,3.8,L,0
4.5,1.3,3.3,G,1
7.5,2.8,4.8,B,0
9.5,5,2.5,T,1
6.5,7.8,0.3,M,0
2.8,7.5,3.3,F,1
0.3,0.3,1.8,L,1
8.3,2.8,4.5,G,1
5.5,0.8,1.5,B,1
6.5,6.8,2.3,T,1
2,3,4.3,M,1
8.5,4.3,1,F,1
5,1.5,4,L,0
7,9.3,0.5,G,1
6.8,9.3,0.5,B,0
9.3,4.3,2,T,0
2.3,9.8,5,M,0
3.5,10,3.8,F,0
8,0,0,L,0
9.5,6.3,2,G,0
9.8,1.5,2.3,B,1
1.8,5.8,1.3,T,0
5.5,7.5,1.8,M,1
0.3,1.8,3.3,F,0
8.5,7.5,1.8,L,1
8,7.3,3.5,G,0
5.8,1,1,B,1
1.8,9.3,2,T,0
2.3,9,2,M,1
8.3,9.5,3.5,F,1
10,3.3,0,L,1
5,5.8,2.3,G,1
1.8,8.8,4.8,B,1
8.8,5.5,1,T,1
8.3,4.8,3.5,M,1
3.5,9,0,F,0
6.3,0,2,L,1
9.3,2.3,1.8,G,1
1.5,4,1,B,1
1.8,4,0.5,T,1
2,2.5,4,M,1
5.3,9,1.8,F,0
4,2.3,4,L,0
1.3,3,3.3,G,0
9.3,0,0,B,0
9,2,1.8,T,1
5.5,7.3,0.3,M,1
7,0,3.3,F,0
8.3,9,4.3,L,1
3.3,4,0,G,0
8.5,0,2,M,0
2.8,4,1.5,F,0
0.5,3.5,2.8,L,0
2.5,5.8,4.5,G,0
8,4,3,B,0
3.5,5,2.8,T,0
7.3,5.8,2.8,M,1
7.5,7.8,2.5,F,0
5.8,8.5,2.3,L,1
4.5,9.8,2.5,G,0
7.8,5,1,B,1
