CartCode,Total,Discount,CustomerSalary,CustomerAge,ListOfProduct
C0,100,0.09,1472,29,shrimp>almonds>avocado>vegetables mix>green grapes>whole weat flour>yams>cottage cheese>energy drink>tomato juice>low fat yogurt>green tea>honey>salad>mineral water>salmon>antioxydant juice>frozen smoothie>spinach>olive oil
C1,75,0.17,2113,24,burgers>meatballs>eggs
C2,162,0.06,1015,39,chutney
C3,94,0.03,2123,56,turkey>avocado
C4,114,0.25,1631,33,mineral water>milk>energy bar>whole wheat rice>green tea
C5,161,0.09,2109,58,low fat yogurt
C6,102,0.11,619,25,whole wheat pasta>french fries
C7,132,0.11,2409,59,soup>light cream>shallot
C8,201,0.18,613,32,frozen vegetables>spaghetti>green tea
C9,74,0.13,2195,55,french fries
C10,140,0.22,1541,51,eggs>pet food
C11,64,0.17,714,27,cookies
C12,175,0.24,2267,33,turkey>burgers>mineral water>eggs>cooking oil
C13,103,0.2,938,51,spaghetti>champagne>cookies
C14,216,0.05,1117,21,mineral water>salmon
C15,238,0.2,1213,42,mineral water
C16,57,0.25,1961,25,shrimp>chocolate>chicken>honey>oil>cooking oil>low fat yogurt
C17,211,0.19,987,54,turkey>eggs
C18,129,0.15,1939,34,turkey>fresh tuna>tomatoes>spaghetti>mineral water>black tea>salmon>eggs>chicken>extra dark chocolate
C19,160,0.1,1412,49,meatballs>milk>honey>french fries>protein bar
C20,142,0.16,709,46,red wine>shrimp>pasta>pepper>eggs>chocolate>shampoo
C21,227,0.02,655,42,rice>sparkling water
C22,148,0.15,1105,31,spaghetti>mineral water>ham>body spray>pancakes>green tea
C23,86,0.1,1892,49,burgers>grated cheese>shrimp>pasta>avocado>honey>white wine>toothpaste
C24,74,0.21,2430,54,eggs
C25,73,0.1,660,50,parmesan cheese>spaghetti>soup>avocado>milk>fresh bread
C26,215,0.06,1704,49,ground beef>spaghetti>mineral water>milk>energy bar>black tea>salmon>frozen smoothie>escalope
C27,75,0.15,2155,58,sparkling water
C28,210,0.01,961,59,mineral water>eggs>chicken>chocolate>french fries
C29,250,0,1641,54,frozen vegetables>spaghetti>yams>mineral water
C30,61,0.01,1143,47,herb & pepper>tomato sauce>light cream>magazines
C31,64,0.03,1693,41,mineral water>chocolate>avocado>eggs
C32,207,0.02,1534,27,turkey>french fries>strawberries
C33,51,0.04,2409,32,frozen vegetables>strong cheese>chocolate
C34,131,0,2236,36,cookies
C35,98,0.21,1286,21,pickles>spaghetti>salmon>escalope
C36,215,0.07,986,45,energy bar>french fries
C37,74,0.08,2377,44,red wine>ground beef>mineral water
C38,141,0.07,1779,44,mineral water>cake>cottage cheese
C39,154,0.23,572,38,pickles>champagne>green tea
C40,58,0.09,1186,59,spaghetti
C41,199,0.09,1561,43,fresh tuna>frozen vegetables>spaghetti>mineral water>honey>whole wheat rice>frozen smoothie>escalope
C42,167,0.06,1461,50,spaghetti
C43,96,0.14,1464,48,soup>meatballs>hot dogs>sparkling water
C44,201,0.19,937,44,escalope
C45,144,0.14,701,55,soup>avocado>french fries>hot dogs>brownies>body spray>pancakes>green tea
C46,192,0.21,1091,51,mineral water>chicken>cereals>clothes accessories
C47,221,0.15,1546,22,mineral water>bug spray
C48,208,0.05,693,45,avocado>muffins
C49,181,0.11,1424,34,burgers>black tea>green tea
C50,235,0.1,2223,57,spaghetti>chocolate>brownies>white wine>green tea
C51,210,0.07,1242,49,fresh tuna>mineral water>eggs
C52,70,0.01,2397,27,spaghetti>muffins
C53,171,0.22,1105,23,spaghetti>chocolate
C54,117,0.09,1280,28,french fries>escalope>champagne
C55,226,0.19,1340,30,tomato sauce>light mayo
C56,117,0.04,1558,32,turkey>fresh tuna>frozen vegetables>tomatoes>ground beef>spaghetti>mineral water>chocolate>soup>milk>olive oil
C57,118,0.14,1616,32,eggs>cookies
C58,143,0.02,2268,54,soup>chicken>gums>soda>body spray>energy drink>green tea
C59,102,0.23,1797,39,turkey>frozen vegetables>mineral water>cider>cooking oil>green tea
C60,98,0.07,644,31,spaghetti
